,text,sentence,start_token,end_token,mention_type,label,grounding_id
3004,has,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",16,17,TextBoundMention,VerbPhrase,"(has skeleton, ro:0002551, 0.84), (has quality, ro:0000086, 0.77), (has output, ro:0002234, 0.76)"
3005,incorporating,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",22,23,TextBoundMention,VerbPhrase,
3006,been,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",17,18,TextBoundMention,VerbPhrase,
3007,get,Control reproduction numbers have been calculated in c order to get insights about the current epidemic scenario in the above-mentioned countries .,10,11,TextBoundMention,VerbPhrase,
3008,been,Control reproduction numbers have been calculated in c order to get insights about the current epidemic scenario in the above-mentioned countries .,4,5,TextBoundMention,VerbPhrase,
3009,calculated,Control reproduction numbers have been calculated in c order to get insights about the current epidemic scenario in the above-mentioned countries .,5,6,TextBoundMention,VerbPhrase,
3010,have,Control reproduction numbers have been calculated in c order to get insights about the current epidemic scenario in the above-mentioned countries .,3,4,TextBoundMention,VerbPhrase,
3011,reserved,(c) 2021 Elsevier Ltd. All rights reserved .,6,7,TextBoundMention,VerbPhrase,
3012,in this paper incorporating all possible non-pharmaceutical intervention strategies,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",19,28,RelationMention,Context,
3013,about the future,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",5,8,RelationMention,Context,
3014,R,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,17,18,TextBoundMention,Identifier,
3015,ﬂ,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,8,9,TextBoundMention,Identifier,
3016,2021,(c) 2021 Elsevier Ltd. All rights reserved .,1,2,TextBoundMention,Year,
3017,"When the entire world is eagerly waiting for a safe, effective and widely available COVID-19 vaccine","When the entire world is eagerly waiting for a safe , effective and widely available COVID-19 vaccine , unprecedented spikes of new cases are evident in numerous countries .",0,17,RelationMention,Context,
3018,in numerous countries,"When the entire world is eagerly waiting for a safe , effective and widely available COVID-19 vaccine , unprecedented spikes of new cases are evident in numerous countries .",25,28,RelationMention,Context,
3019,e,"Nevertheless , as the pandemic is not over in any country , it is highly recommended to use e ffi cacious face coverings and maintain strict physical distancing in public gatherings .",18,19,TextBoundMention,Identifier,"(LolC/E, vo:0010921, 1.00), (ALVAC-WNV-prM/E, vo:0004731, 1.00), (AIDSVAX B/E, vo:0000406, 0.77), (hepatitis E, doid:4411, 0.75), (E protein, vo:0011311, 0.75)"
3020,Elsevier Ltd.,(c) 2021 Elsevier Ltd. All rights reserved .,2,4,TextBoundMention,ModelComponent,"(Vaxine Pty Ltd., vo:0004980, 0.79)"
3021,are,Forecasting results depict that the aforesaid countries are having downward trends in daily COVID-19 cases .,7,8,TextBoundMention,VerbPhrase,
3022,results,Forecasting results depict that the aforesaid countries are having downward trends in daily COVID-19 cases .,1,2,TextBoundMention,VerbPhrase,
3023,having,Forecasting results depict that the aforesaid countries are having downward trends in daily COVID-19 cases .,8,9,TextBoundMention,VerbPhrase,
3024,depict,Forecasting results depict that the aforesaid countries are having downward trends in daily COVID-19 cases .,2,3,TextBoundMention,VerbPhrase,
3025,future dynamics,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",7,9,TextBoundMention,Phrase,
3026,paper,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",21,22,TextBoundMention,Phrase,
3027,possible non-pharmaceutical intervention strategies,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",24,28,TextBoundMention,Phrase,"(preventive intervention, oae:0001080, 0.81), (therapeutic intervention, oae:0000094, 0.77)"
3028,proposed,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",18,19,TextBoundMention,Phrase,
3029,gain,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",1,2,TextBoundMention,Phrase,"(weight gain, symp:0000403, 0.80), (abnormal weight gain, symp:0000455, 0.76)"
3030,COVID-19,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",10,11,TextBoundMention,Phrase,"(severe COVID-19, doid:0081013, 0.83), (critical COVID-19, doid:0081012, 0.82), (non-severe COVID-19, doid:0081014, 0.81), (COVID-19, doid:0080600, 0.77), (COVID-19 vaccine, vo:0004908, 0.76)"
3031,deeper understanding,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",3,5,TextBoundMention,Phrase,
3032,has,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",16,17,TextBoundMention,Phrase,"(has skeleton, ro:0002551, 0.84), (has quality, ro:0000086, 0.77), (has output, ro:0002234, 0.76)"
3033,compartmental mathematical model,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",13,16,TextBoundMention,Phrase,
3034,incorporating,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",22,23,TextBoundMention,Phrase,
3035,been,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",17,18,TextBoundMention,Phrase,
3036,To,"To gain a deeper understanding about the future dynamics of COVID-19 , a compartmental mathematical model has been proposed in this paper incorporating all possible non-pharmaceutical intervention strategies .",0,1,TextBoundMention,Phrase,"(hypersensitity to gelatin, vo:0000240, 0.78), (has potential to developmentally contribute to, ro:0002385, 0.76)"
3037,©,(c) 2021 Elsevier Ltd. All rights reserved .,0,1,TextBoundMention,Identifier,
3038,Ltd.,(c) 2021 Elsevier Ltd. All rights reserved .,3,4,TextBoundMention,Identifier,"(Cellid Co., Ltd., vo:0004997, 0.81), (Vaxine Pty Ltd., vo:0004980, 0.76)"
3039,with the help of Caputo,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,7,12,RelationMention,Context,
3040,© 2021,(c) 2021 Elsevier Ltd. All rights reserved .,0,2,TextBoundMention,Phrase,
3041,All rights,(c) 2021 Elsevier Ltd. All rights reserved .,4,6,TextBoundMention,Phrase,"(All, hp:0000001, 0.79)"
3042,been,"Finally , unconditional stability of the fractional numerical technique has been proved .",10,11,TextBoundMention,Phrase,
3043,has,"Finally , unconditional stability of the fractional numerical technique has been proved .",9,10,TextBoundMention,Phrase,"(has skeleton, ro:0002551, 0.84), (has quality, ro:0000086, 0.77), (has output, ro:0002234, 0.76)"
3044,proved,"Finally , unconditional stability of the fractional numerical technique has been proved .",11,12,TextBoundMention,Phrase,
3045,unconditional stability,"Finally , unconditional stability of the fractional numerical technique has been proved .",2,4,TextBoundMention,Phrase,
3046,fractional numerical technique,"Finally , unconditional stability of the fractional numerical technique has been proved .",6,9,TextBoundMention,Phrase,
3047,have,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,4,5,TextBoundMention,VerbPhrase,
3048,performed,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,6,7,TextBoundMention,VerbPhrase,
3049,been,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,5,6,TextBoundMention,VerbPhrase,
3050,is,"When the entire world is eagerly waiting for a safe , effective and widely available COVID-19 vaccine , unprecedented spikes of new cases are evident in numerous countries .",4,5,TextBoundMention,VerbPhrase,"(is about, iao:0000136, 1.00), (is concretized as, ro:0000058, 0.76)"
3051,are,"When the entire world is eagerly waiting for a safe , effective and widely available COVID-19 vaccine , unprecedented spikes of new cases are evident in numerous countries .",23,24,TextBoundMention,VerbPhrase,
3052,waiting,"When the entire world is eagerly waiting for a safe , effective and widely available COVID-19 vaccine , unprecedented spikes of new cases are evident in numerous countries .",6,7,TextBoundMention,VerbPhrase,
3053,showed,"In addition , optimal control strategies for fractional system have been designed and the existence of unique solution has also been showed using Picard - Lindelof technique .",21,22,TextBoundMention,VerbPhrase,
3054,have,"In addition , optimal control strategies for fractional system have been designed and the existence of unique solution has also been showed using Picard - Lindelof technique .",9,10,TextBoundMention,VerbPhrase,
3055,been,"In addition , optimal control strategies for fractional system have been designed and the existence of unique solution has also been showed using Picard - Lindelof technique .",20,21,TextBoundMention,VerbPhrase,
3056,using,"In addition , optimal control strategies for fractional system have been designed and the existence of unique solution has also been showed using Picard - Lindelof technique .",22,23,TextBoundMention,VerbPhrase,
3057,designed,"In addition , optimal control strategies for fractional system have been designed and the existence of unique solution has also been showed using Picard - Lindelof technique .",11,12,TextBoundMention,VerbPhrase,
3058,been,"In addition , optimal control strategies for fractional system have been designed and the existence of unique solution has also been showed using Picard - Lindelof technique .",10,11,TextBoundMention,VerbPhrase,
3059,has,"In addition , optimal control strategies for fractional system have been designed and the existence of unique solution has also been showed using Picard - Lindelof technique .",18,19,TextBoundMention,VerbPhrase,"(has skeleton, ro:0002551, 0.84), (has quality, ro:0000086, 0.77), (has output, ro:0002234, 0.76)"
3060,Picard,"In addition , optimal control strategies for fractional system have been designed and the existence of unique solution has also been showed using Picard - Lindelof technique .",23,24,TextBoundMention,Identifier,
3061,c,Control reproduction numbers have been calculated in c order to get insights about the current epidemic scenario in the above-mentioned countries .,7,8,TextBoundMention,Identifier,"(BoNT/C, vo:0004004, 0.76)"
3062,in daily COVID-19 cases,Forecasting results depict that the aforesaid countries are having downward trends in daily COVID-19 cases .,11,15,RelationMention,Context,
3063,using,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,5,6,TextBoundMention,Phrase,
3064,(R,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,16,18,TextBoundMention,Phrase,
3065,been,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,19,20,TextBoundMention,Phrase,
3066,sophisticated trust-region-reﬂective algorithm,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,6,11,TextBoundMention,Phrase,
3067,India,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,24,25,TextBoundMention,Phrase,
3068,Model parameters,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,0,2,TextBoundMention,Phrase,
3069,short-term projection results,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,12,15,TextBoundMention,Phrase,
3070,have,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,15,16,TextBoundMention,Phrase,
3071,have,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,2,3,TextBoundMention,Phrase,
3072,calibrated,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,4,5,TextBoundMention,Phrase,
3073,Bangladesh,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,22,23,TextBoundMention,Phrase,
3074,been,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,3,4,TextBoundMention,Phrase,
3075,illustrated,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,20,21,TextBoundMention,Phrase,
3076,Fabrizio fractional derivatives,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,13,16,TextBoundMention,Phrase,
3077,have,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,4,5,TextBoundMention,Phrase,
3078,performed,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,6,7,TextBoundMention,Phrase,
3079,necessary graphical simulations,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,1,4,TextBoundMention,Phrase,
3080,help,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,9,10,TextBoundMention,Phrase,
3081,been,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,5,6,TextBoundMention,Phrase,
3082,Caputo,All necessary graphical simulations have been performed with the help of Caputo - Fabrizio fractional derivatives .,11,12,TextBoundMention,Phrase,"(Rosales, ncbitaxon:3744, 0.82)"
3083,for Bangladesh and India,Model parameters have been calibrated using sophisticated trust-region-re fl ective algorithm and short-term projection results have ( R ) been illustrated for Bangladesh and India .,21,25,RelationMention,Context,
3084,Calibration Optimal control Caputo,Keywords : COVID-19 Mathematical model Calibration Optimal control Caputo - Fabrizio Fractional derivative,5,9,RelationMention,Description,
3085,COVID-19 Mathematical model Calibration Optimal control,Keywords : COVID-19 Mathematical model Calibration Optimal control Caputo - Fabrizio Fractional derivative,2,8,TextBoundMention,Phrase,
3086,Keywords,Keywords : COVID-19 Mathematical model Calibration Optimal control Caputo - Fabrizio Fractional derivative,0,1,TextBoundMention,Phrase,
3087,Fabrizio Fractional derivative,Keywords : COVID-19 Mathematical model Calibration Optimal control Caputo - Fabrizio Fractional derivative,10,13,TextBoundMention,Phrase,
3088,Caputo,Keywords : COVID-19 Mathematical model Calibration Optimal control Caputo - Fabrizio Fractional derivative,8,9,TextBoundMention,Phrase,"(Rosales, ncbitaxon:3744, 0.82)"
3089,COVID-19 Mathematical model,Keywords : COVID-19 Mathematical model Calibration Optimal control Caputo - Fabrizio Fractional derivative,2,5,TextBoundMention,Model,
3090,Caputo,Keywords : COVID-19 Mathematical model Calibration Optimal control Caputo - Fabrizio Fractional derivative,8,9,TextBoundMention,Identifier,"(Rosales, ncbitaxon:3744, 0.82)"
3091,Introduction,Introduction,0,1,TextBoundMention,Phrase,
3092,author,* Corresponding author .,2,3,TextBoundMention,Phrase,
3093,Corresponding,* Corresponding author .,1,2,TextBoundMention,Phrase,
3094,K.N,E-mail address : khnabi@math.buet.ac.bd ( K.N .,5,6,TextBoundMention,Identifier,
3095,khnabi@math.buet.ac.bd,E-mail address : khnabi@math.buet.ac.bd ( K.N .,3,4,TextBoundMention,Identifier,
3096,E-mail,E-mail address : khnabi@math.buet.ac.bd ( K.N .,0,1,TextBoundMention,Identifier,
3097,Nabi,Nabi ) .,0,1,TextBoundMention,Identifier,
3098,address: khnabi@math.buet.ac.bd,E-mail address : khnabi@math.buet.ac.bd ( K.N .,1,4,TextBoundMention,ModelComponent,
3099,K.N,E-mail address : khnabi@math.buet.ac.bd ( K.N .,5,6,TextBoundMention,Phrase,
3100,E-mail address,E-mail address : khnabi@math.buet.ac.bd ( K.N .,0,2,TextBoundMention,Phrase,
3101,Corresponding,* Corresponding author .,1,2,TextBoundMention,VerbPhrase,
3102,Nabi,Nabi ) .,0,1,TextBoundMention,Phrase,
3103,V.S,"Nabi , P. Kumar and V.S .",5,6,TextBoundMention,Location,
3104,K.N,K.N .,0,1,TextBoundMention,Phrase,
3105,Nabi,"Nabi , P. Kumar and V.S .",0,1,TextBoundMention,Identifier,
3106,V.S,"Nabi , P. Kumar and V.S .",5,6,TextBoundMention,Identifier,
3107,K.N,K.N .,0,1,TextBoundMention,Identifier,
3108,Erturk,Erturk,0,1,TextBoundMention,Identifier,"(COVIran Barakat, vo:0005229, 0.86), (Abdala, vo:0005082, 0.84), (Shoe-shaped sella turcica, hp:0005723, 0.80), (BotA, vo:0010902, 0.79), (YerA, vo:0011011, 0.77)"
3109,Nabi,"Nabi , P. Kumar and V.S .",0,1,TextBoundMention,Phrase,
3110,V.S,"Nabi , P. Kumar and V.S .",5,6,TextBoundMention,Phrase,
3111,K.N,K.N .,0,1,TextBoundMention,Location,
3112,Erturk,Erturk,0,1,TextBoundMention,Phrase,"(COVIran Barakat, vo:0005229, 0.86), (Abdala, vo:0005082, 0.84), (Shoe-shaped sella turcica, hp:0005723, 0.80), (BotA, vo:0010902, 0.79), (YerA, vo:0011011, 0.77)"
3113,Solitons,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",2,3,TextBoundMention,Phrase,
3114,Chaos,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",0,1,TextBoundMention,Phrase,
3115,110689,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",9,10,TextBoundMention,Phrase,
3116,2021,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",7,8,TextBoundMention,Phrase,
3117,Fractals 145,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",4,6,TextBoundMention,Phrase,
3118,110689,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",9,10,TextBoundMention,Value,
3119,145,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",5,6,TextBoundMention,Value,
3120,2021,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",7,8,TextBoundMention,Year,
3121,V.S,"Nabi , P. Kumar and V.S .",5,6,TextBoundMention,Location,
3122,K.N,K.N .,0,1,TextBoundMention,Phrase,
3123,Nabi,"Nabi , P. Kumar and V.S .",0,1,TextBoundMention,Identifier,
3124,V.S,"Nabi , P. Kumar and V.S .",5,6,TextBoundMention,Identifier,
3125,K.N,K.N .,0,1,TextBoundMention,Identifier,
3126,Erturk,Erturk,0,1,TextBoundMention,Identifier,"(COVIran Barakat, vo:0005229, 0.86), (Abdala, vo:0005082, 0.84), (Shoe-shaped sella turcica, hp:0005723, 0.80), (BotA, vo:0010902, 0.79), (YerA, vo:0011011, 0.77)"
3127,Nabi,"Nabi , P. Kumar and V.S .",0,1,TextBoundMention,Phrase,
3128,V.S,"Nabi , P. Kumar and V.S .",5,6,TextBoundMention,Phrase,
3129,K.N,K.N .,0,1,TextBoundMention,Location,
3130,Erturk,Erturk,0,1,TextBoundMention,Phrase,"(COVIran Barakat, vo:0005229, 0.86), (Abdala, vo:0005082, 0.84), (Shoe-shaped sella turcica, hp:0005723, 0.80), (BotA, vo:0010902, 0.79), (YerA, vo:0011011, 0.77)"
3131,Solitons,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",2,3,TextBoundMention,Phrase,
3132,Chaos,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",0,1,TextBoundMention,Phrase,
3133,110689,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",9,10,TextBoundMention,Phrase,
3134,2021,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",7,8,TextBoundMention,Phrase,
3135,Fractals 145,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",4,6,TextBoundMention,Phrase,
3136,110689,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",9,10,TextBoundMention,Value,
3137,145,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",5,6,TextBoundMention,Value,
3138,2021,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",7,8,TextBoundMention,Year,
3139,Solitons,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",2,3,TextBoundMention,Phrase,
3140,Chaos,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",0,1,TextBoundMention,Phrase,
3141,110689,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",9,10,TextBoundMention,Phrase,
3142,2021,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",7,8,TextBoundMention,Phrase,
3143,Fractals 145,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",4,6,TextBoundMention,Phrase,
3144,110689,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",9,10,TextBoundMention,Value,
3145,145,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",5,6,TextBoundMention,Value,
3146,2021,"Chaos , Solitons and Fractals 145 ( 2021 ) 110689",7,8,TextBoundMention,Year,
3147,V.S,"Nabi , P. Kumar and V.S .",5,6,TextBoundMention,Location,
3148,K.N,K.N .,0,1,TextBoundMention,Phrase,
3149,Nabi,"Nabi , P. Kumar and V.S .",0,1,TextBoundMention,Identifier,
3150,V.S,"Nabi , P. Kumar and V.S .",5,6,TextBoundMention,Identifier,
3151,K.N,K.N .,0,1,TextBoundMention,Identifier,
3152,Erturk,Erturk,0,1,TextBoundMention,Identifier,"(COVIran Barakat, vo:0005229, 0.86), (Abdala, vo:0005082, 0.84), (Shoe-shaped sella turcica, hp:0005723, 0.80), (BotA, vo:0010902, 0.79), (YerA, vo:0011011, 0.77)"
3153,Nabi,"Nabi , P. Kumar and V.S .",0,1,TextBoundMention,Phrase,
3154,V.S,"Nabi , P. Kumar and V.S .",5,6,TextBoundMention,Phrase,
3155,K.N,K.N .,0,1,TextBoundMention,Location,
3156,Erturk,Erturk,0,1,TextBoundMention,Phrase,"(COVIran Barakat, vo:0005229, 0.86), (Abdala, vo:0005082, 0.84), (Shoe-shaped sella turcica, hp:0005723, 0.80), (BotA, vo:0010902, 0.79), (YerA, vo:0011011, 0.77)"
3157,Preliminaries,Preliminaries,0,1,TextBoundMention,Phrase,
3158,5.1,5.1 .,0,1,TextBoundMention,Value,
3159,] The Caputo,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",3,6,RelationMention,Description,
3160,function G,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",25,27,RelationMention,Description,
3161,n (τ ) D G ( t ) (t −−1 G dτ (12) t − ,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",47,71,RelationMention,UnitRelation,
3162,t − ,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",68,71,TextBoundMention,Unit,
3163,n,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",42,43,TextBoundMention,Unit,"(V-LSG/N, vo:0004083, 1.00), (N,N'-diethylthiourea, chebi:82448, 1.00), (N,N'-diphenylthiourea, chebi:138412, 1.00), (RABVgp1 nucleoprotein N, vo:0011232, 0.81), (RVFVsSgp2 N protein, vo:0011319, 0.79)"
3164,is,where n [  ] 1 and [ ] is the integer part of,9,10,TextBoundMention,VerbPhrase,"(is about, iao:0000136, 1.00), (is concretized as, ro:0000058, 0.76)"
3165,Deﬁnition 1,De fi nition 1 .,0,4,TextBoundMention,Phrase,
3166,is,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",30,31,TextBoundMention,VerbPhrase,"(is about, iao:0000136, 1.00), (is concretized as, ro:0000058, 0.76)"
3167,ned,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",33,34,TextBoundMention,VerbPhrase,
3168,1,De fi nition 1 .,3,4,TextBoundMention,Value,"(zygodactyly 1, doid:0111820, 1.00), (omodysplasia 1, doid:0080844, 1.00), (fibrochondrogenesis 1, doid:0080672, 1.00), (hyperalphalipoproteinemia 1, doid:0111369, 0.89), (omodysplasia 2, doid:0080845, 0.86)"
3169,Caputo,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",5,6,TextBoundMention,Identifier,"(Rosales, ncbitaxon:3744, 0.82)"
3170,n (τ ) D,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",47,52,TextBoundMention,Identifier,
3171,τ,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",45,46,TextBoundMention,Identifier,
3172,n,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",74,75,TextBoundMention,Identifier,"(V-LSG/N, vo:0004083, 1.00), (N,N'-diethylthiourea, chebi:82448, 1.00), (N,N'-diphenylthiourea, chebi:138412, 1.00), (RABVgp1 nucleoprotein N, vo:0011232, 0.81), (RVFVsSgp2 N protein, vo:0011319, 0.79)"
3173,G ( t ) (t,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",52,58,TextBoundMention,Identifier,
3174,de,"Podlubny [ 27 ] The Caputo de fi nition of non-integer  > , infinity ) --> R order derivative of order 0 of a function G : ( 0 is de fi ned by ( cid :7 ) t  1 n = - tau ) n ( tau ) D G ( t ) ( t -  - 1 G d tau ( 12 ) t -  )  ( n 0 = +   .",6,7,TextBoundMention,Identifier,
